source,target,value
english SAT,Korea,1
extender,Tech,1
family,Foreign reaction,1
family,Interests,1
family,sadness,1
grammar,Lang,2
grammar,Spanish,2
live,Interests,2
live,animation,1
live,music,1
macOS,CLI,2
macOS,CLI editor,1
macOS,MongoDB,3
macOS,Shortcuts,1
macOS,Tech,13
macOS,nano,1
matplotlib,IDE,1
matplotlib,Python,2
matplotlib,Tech,2
matplotlib,Virtualenv,1
maxfiles,MongoDB,4
maxfiles,Tech,4
maxfiles,macOS,3
mechanic,Interests,1
mechanic,animation,1
movie,Arab,1
movie,Chinese,6
movie,Documentary,1
movie,Interests,9
movie,Iran,1
movie,Lang,6
music,90년대,5
music,EDM,2
music,Interests,32
music,Jazz,1
music,Korean singer,1
music,Kpop,8
music,Mix,2
music,Spanish music,3
music,한국댄스음악,5
nano,Tech,1
online lecture,Online courses,27
online lecture,Tech,1
ranking,DB,1
ranking,Programming language choice,5
ranking,Tech,5
sadness,Foreign reaction,1
sadness,Interests,1
sex slave,Mitsubishi Heavy Industries,1
shoes,Interests,1
sports,History/Culture,1
sports,Interests,1
sports,Korean wave,1
stock,Interests,5
tesseract,Tech,1
visualization,IDE,2
visualization,Python,2
visualization,Tech,3
visualization,Visualization,1
visualization,matplotlib,1
washer,Society,1
washer,Tariff war,1
web dev,Tech,1
white clothes,Interests,2
wise saying,English,1
wise saying,Lang,1
wise saying,Lincoln,1
wise saying,reading,1
매일학습,Python,2
매일학습,Tech,2
블랙리스트,Gwanggye-tor,1
서울대,Society,1
서울대,윤석민교수,1
서울대,조선일보,1
서울대,지상파-편향성,1
수신(修身),조던 피터슨(Jordan B Peterson),11
스페인어가사,Lang,2
스페인어가사,Spanish,2
영어자막,Interests,1
영어자막,Japanese Anime,1
외국인 반응,Candle rally,1
외국인 반응,Foreign reaction,22
외국인 반응,Interests,22
외국인 반응,Japan,1
외국인 반응,Society,6
외국인 반응,What you need to learn,1
외국인 반응,language,1
외국인 반응,look,5
외국인 반응,sex,1
윤석민교수,Society,1
윤석민교수,조선일보,1
윤석민교수,지상파-편향성,1
인종차별,Interests,1
인종차별,Spain,1
인종차별,한국성형,1
인터넷공유기,Tech,1
인터넷공유기,extender,1
일본고전애니,Interests,1
전문가(Expert)의 허상,Interests,2
조선일보,Society,1
조선일보,지상파-편향성,1
중용(中庸),Dool Kim Yong Ok,3
중용(中庸),Exquisite,2
중용(中庸),Lang,2
중용(中庸),Language learning method,2
중용(中庸),Oriental Classics,3
중용(中庸),Society,2
중용(中庸),education,1
중용(中庸),수신(修身),2
취업(Job search),Career,16
취업(Job search),Coding skill,1
취업(Job search),UPV,9
태극(太極),수신(修身),3
학습(學習),Chinese,8
학습(學習),Lang,21
학습(學習),Online courses,26
학습(學習),Spanish,4
학습(學習),online lecture,26
한국 귀국 3차(2017 06),Interests,1
한국성형,Interests,1
한국성형,Spain,1
